,name,lat,lng
276,Зюзино,55.489722,37.572222
277,Каховская,55.653056,37.598333
278,Косино,55.7026,37.8511
279,Улица Дмитриевского,55.7093,37.8792
280,Лухмановская,55.7078,37.9004
281,Некрасовка,55.7029,37.9264
282,Юго-Восточная,55.71,37.82
283,Окская,55.72,37.77
284,Стахановская,55.73,37.76
285,Нижегородская,55.73,37.73
286,Лефортово,55.764444,37.702778
287,Электрозаводская,55.782057,37.7053
288,Авиамоторная,55.751933,37.717444
289,Лобня,56.0048,37.29057
290,Шереметьевская,55.983882,37.498752
291,Хлебниково,55.970682,37.504638
292,Водники,55.953419,37.511143
293,Долгопрудная,55.938656,37.520542
294,Новодачная,55.924459,37.527877
295,Марк,55.904458,37.538242
296,Лианозово,55.897316,37.553261
297,Бескудниково,55.882713,37.567768
298,Дегунино,55.86586,37.573235
299,Окружная,55.848889,37.571111
300,Тимирязевская,55.81866,37.574498
301,Савёловская,55.793936,37.587038
302,Белорусская,55.775179,37.582303
303,Беговая,55.773505,37.545518
304,Тестовская,55.754292,37.531551
305,Фили,55.744263,37.514526
306,Кунцевская,55.730554,37.445591
307,Рабочий Посёлок,55.726957,37.415577
308,Сетунь,55.723713,37.397259
309,Немчиновка,55.715668,37.374611
310,Сколково,55.666801,37.424618
311,Баковка,55.682816,37.315205
312,Одинцово,55.67798,37.27773
313,Славянский бульвар,55.729722,37.470556
